state,decade,n_districts,n_simulations,enacted_egap,sim_egap_mean,sim_egap_std,egap_zscore,egap_pct,enacted_edem,sim_edem_mean,enacted_pbias,max_bvap,sim_max_bvap_mean,bvap_zscore,bvap_pct
AL,2010,7,5000,0.132025866,0.0539831681342,0.052978812757750224,1.4730926157718245,97.94,1.0,1.4826621800000002,0.35714,0.6034625988293009,0.41885684096934545,13.688445702167,100.0
AL,2020,7,5000,0.119776,0.06084104479999999,0.05928054405885944,0.9941702819306736,79.16,1.0,1.3871392599999999,0.35714,0.5409005402958897,0.4208069937419952,7.791536091938217,100.0
AR,2010,4,5000,0.211922,0.19853824039999995,0.04268553706074975,0.31354319335264247,10.56,0.0,0.0524581,0.17857,0.19557124251953997,0.23830798060359448,-1.301158023350483,1.1199999999999999
AR,2020,4,5000,0.2121,0.19524993,0.04476755879830005,0.37639019085043046,15.52,0.0,0.06374458,0.10714,0.1908561092557825,0.24579402524614444,-1.574110091503472,0.12
AZ,2010,9,5000,0.07682042,0.081405570056,0.0435586154928826,-0.10526390713105223,43.18,4.125,3.692625,0.0416666666666666,0.08998121782046434,0.07959012263563287,1.2412632410865085,97.08
AZ,2020,9,5000,0.1599023,0.09448847312,0.043677108747893836,1.4976684298764242,92.32000000000001,3.25,3.56265,0.1666666666666667,0.10133151783453873,0.08552324340141591,3.03068827534878,99.83999999999999
CA,2010,53,5000,-0.04998,-0.072068076,0.01686467962168189,1.3097240205857634,89.32,46.0,46.7303,-0.037736,0.24854109378416187,0.27028197014154975,-0.6497275117028649,46.04
CA,2020,52,5000,-0.03033,-0.06029312199999999,0.01285747024501073,2.3304057041568513,98.28,44.5,45.0347,-0.0384615384615384,0.24977988307388885,0.23814297624247283,0.4581024607454798,78.68
CO,2010,7,5000,0.00297795,0.047609101986,0.07440915494965179,-0.5998072685571986,30.959999999999997,4.0,3.6947164000000003,-0.07143,0.08414125879279548,0.10060047782607447,-0.7866268358237011,28.1
CO,2020,8,5000,-0.0131157,0.0432833071,0.06130716282163802,-0.9199415615444904,23.799999999999997,4.714,4.3172354,0.05357,0.09556339749026146,0.09244041876827512,0.3679563789451914,57.620000000000005
