state,district,blackvap_share,nominate_dim1,party_code
AL,1,0.24637444567229724,0.55,200
AL,2,0.29080454006583023,0.643,200
AL,3,0.2403363071406807,0.379,200
AL,4,0.07113884555382215,0.405,200
AL,5,0.16891917101207238,0.652,200
AL,6,0.18212230189851022,0.674,200
AL,7,0.5409005402958897,-0.402,100
AR,1,0.16179221088734955,0.461,200
AR,2,0.1908561092557825,0.435,200
AR,3,0.027870620993101645,0.347,200
AR,4,0.18925090856801463,0.543,200
AZ,1,0.0300566101188252,-0.198,100
AZ,2,0.020531175819942085,-0.169,100
AZ,3,0.10133151783453873,-0.598,100
AZ,4,0.05080764720021552,0.704,200
AZ,5,0.03502997691982027,0.818,200
AZ,6,0.03212362042142169,0.552,200
AZ,7,0.03777921555714042,-0.358,100
AZ,8,0.04072292510161935,0.616,200
AZ,9,0.04054776845739752,-0.278,100
CA,1,0.018047845334182352,0.542,200
CA,2,0.016991793332223816,-0.432,100
CA,3,0.015849795143745335,-0.314,100
CA,4,0.030259996884300977,0.67,200
CA,5,0.022991265821714537,-0.392,100
CA,6,0.08756069495399825,-0.433,100
CA,7,0.10131066119408133,-0.246,100
CA,8,0.1522298164919456,0.314,200
CA,9,0.07408797662189137,-0.263,100
CA,10,0.046164926923911956,-0.3,100
CA,11,0.051891163720034536,-0.512,100
CA,12,0.15504814669100336,-0.489,100
CA,13,0.030774171993509958,-0.676,100
CA,14,0.0529084220951149,-0.381,100
CA,15,0.026791952737256805,-0.355,100
CA,16,0.01978432012315003,-0.199,100
CA,17,0.02010136134464829,-0.456,100
CA,18,0.021359759121996884,-0.379,100
CA,19,0.022288347059994308,-0.397,100
CA,20,0.033306178225107085,-0.283,100
CA,21,0.04647181809441037,0.255,200
CA,22,0.04932383081383768,0.45,200
CA,22,0.04932383081383768,0.376,200
CA,23,0.08226664699091153,0.453,200
CA,24,0.01665861744896361,-0.325,100
CA,25,0.045217286584316826,0.356,200
CA,26,0.017852293403579286,-0.305,100
CA,27,0.0948383743093125,-0.48,100
CA,28,0.037351415752147045,-0.352,100
CA,29,0.04034291563592937,-0.39,100
CA,30,0.03492590664955196,-0.344,100
CA,31,0.02440989285426569,-0.326,100
CA,32,0.04232695309133736,-0.448,100
CA,33,0.10216969300700204,-0.373,100
CA,34,0.044941228419939167,-0.526,100
CA,35,0.0639300650023744,-0.364,100
CA,36,0.03546074909328429,-0.262,100
CA,37,0.23834341204353182,-0.584,100
CA,38,0.01944605978035124,-0.507,100
CA,39,0.08705958120522017,0.261,200
CA,40,0.017199992161780843,-0.469,100
CA,41,0.04907980800534827,-0.456,100
CA,42,0.06407974848968868,0.339,200
CA,43,0.24977988307388885,-0.656,100
CA,44,0.11248296087526934,-0.5,100
CA,45,0.021526654961827013,-0.236,100
CA,46,0.019298526163367948,-0.284,100
CA,47,0.015165414267590514,-0.449,100
CA,48,0.03156964220960758,0.37,200
CA,49,0.022037078736020416,-0.319,100
CA,50,0.027069122850784187,0.476,200
CA,51,0.05642548730875783,-0.4,100
CA,52,0.07823822560819857,-0.193,100
CO,1,0.0798110919432251,-0.431,100
CO,2,0.00943506275174463,-0.434,100
CO,3,0.008351475972580288,0.718,200
CO,4,0.017330440001846806,0.655,200
CO,5,0.056676811990432854,0.665,200
CO,6,0.09556339749026146,-0.365,100
CO,7,0.01360183803988135,-0.282,100
